Lot/Order ID,AM or PM,Browser Info,Company,Fabric Type,Material Composition,Color/Pattern,Quantity (Meters),Price per Meter,Credit Card,CC Exp Date,CC Security Code,CC Provider,Email,IP Address,Language,Purchase Price,Shipping Address
112 - 402820,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Urban Outfitters Inc. Group,Polyester Taffeta,100% Polyester,Olive Green,65.34,4.5,1856945441496739,04/30,445,Mastercard,purchasing@urbanoutfittersinc.group.com,14.34.6.106,en,294.03,"8705 Industrial Pkwy, Suite 63, Textile City, TX 78653"
459 - 330074,PM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,EcoWeave Fashion Group,Chiffon,100% Polyester,Off-White,976.23,6.25,0910939111926921,12/27,359,American Express,purchasing@ecoweavefashiongroup.com,82.218.165.66,de,6101.44,"1312 Industrial Pkwy, Suite 151, Textile City, TX 75511"
491 - 507466,PM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Luxe Garments Inc,Denim,100% Cotton,Off-White,152.1,12.5,2717396271286391,08/31,365,Visa,purchasing@luxegarmentsinc.com,198.128.228.5,es,1901.25,"2538 Industrial Pkwy, Suite 344, Textile City, TX 75007"
138 - 796889,PM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Vogue Trends Ltd Inc,Canvas,100% Heavy Cotton,Indigo Blue,966.8,11.0,6908776618306719,09/28,441,American Express,purchasing@voguetrendsltdinc.com,177.46.187.137,fr,10634.8,"1418 Industrial Pkwy, Suite 440, Textile City, TX 78765"
878 - 903741,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Vogue Trends Ltd Group,Chiffon,100% Polyester,Olive Green,1449.18,6.25,6346157173203093,08/29,164,American Express,purchasing@voguetrendsltdgroup.com,219.230.8.10,fr,9057.38,"1018 Industrial Pkwy, Suite 182, Textile City, TX 75350"
515 - 223928,AM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Elite Fabrics LLC,Velvet,100% Rayon,Off-White,1235.81,22.0,9310270790320204,02/29,725,Mastercard,purchasing@elitefabricsllc.com,39.58.254.153,zh,27187.82,"3713 Industrial Pkwy, Suite 42, Textile City, TX 76660"
536 - 453729,PM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Stitch & Thread Co. LLC,Silk Satin,100% Mulberry Silk,Black,595.39,45.0,5309251142625827,04/30,141,Mastercard,purchasing@stitchandthreadco.llc.com,52.8.249.21,en,26792.55,"218 Industrial Pkwy, Suite 101, Textile City, TX 75730"
823 - 783415,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Modern Textures LLC,Linen Blend,55% Linen / 45% Cotton,Off-White,1480.58,14.2,3248763290927914,06/29,104,Mastercard,purchasing@moderntexturesllc.com,36.185.112.119,it,21024.24,"3509 Industrial Pkwy, Suite 151, Textile City, TX 75434"
298 - 218152,AM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Modern Textures LLC,Jacquard,70% Cotton / 30% Silk,Off-White,152.75,28.5,2005436459701082,03/32,129,Discover,purchasing@moderntexturesllc.com,72.227.166.108,de,4353.38,"5436 Industrial Pkwy, Suite 127, Textile City, TX 75902"
433 - 338846,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Classic Tailors LLC,Merino Wool,100% Merino Wool,Emerald Green,537.04,35.0,6317970623972652,08/31,298,American Express,purchasing@classictailorsllc.com,20.30.143.35,en,18796.4,"7727 Industrial Pkwy, Suite 244, Textile City, TX 78426"
275 - 897273,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Luxe Garments LLC,Polyester Taffeta,100% Polyester,Blush Pink,890.23,4.5,9298316873977406,12/32,352,Mastercard,purchasing@luxegarmentsllc.com,240.76.2.107,en,4006.03,"756 Industrial Pkwy, Suite 250, Textile City, TX 79130"
134 - 546376,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Stitch & Thread Co. Partners,Chiffon,100% Polyester,Navy Blue,1169.16,6.25,7318063254310742,12/29,978,Visa,purchasing@stitchandthreadco.partners.com,235.207.94.203,fr,7307.25,"7707 Industrial Pkwy, Suite 370, Textile City, TX 75011"
981 - 757776,AM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Urban Outfitters Inc. Group,Polyester Taffeta,100% Polyester,Mustard Yellow,304.14,4.5,4649893195085016,06/29,733,Visa,purchasing@urbanoutfittersinc.group.com,155.34.104.36,fr,1368.63,"4009 Industrial Pkwy, Suite 286, Textile City, TX 75930"
764 - 601736,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Urban Outfitters Inc. Inc,Silk Satin,100% Mulberry Silk,Emerald Green,1343.26,45.0,4864015577881788,05/29,735,American Express,purchasing@urbanoutfittersinc.inc.com,129.44.41.101,de,60446.7,"4824 Industrial Pkwy, Suite 500, Textile City, TX 75630"
211 - 272769,PM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Vogue Trends Ltd Partners,Jacquard,70% Cotton / 30% Silk,Mustard Yellow,646.95,28.5,2380468275670431,01/32,921,Mastercard,purchasing@voguetrendsltdpartners.com,99.167.248.152,it,18438.08,"8786 Industrial Pkwy, Suite 441, Textile City, TX 79493"
555 - 580255,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Luxe Garments LLC,Organic Cotton,100% Organic Cotton,Emerald Green,219.53,8.75,4375402547292842,03/32,825,Mastercard,purchasing@luxegarmentsllc.com,93.64.225.67,fr,1920.89,"3122 Industrial Pkwy, Suite 115, Textile City, TX 79607"
824 - 136374,PM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Vogue Trends Ltd Inc,Chiffon,100% Polyester,Charcoal Grey,1455.93,6.25,7828410672752088,06/31,822,American Express,purchasing@voguetrendsltdinc.com,205.75.226.87,it,9099.56,"1940 Industrial Pkwy, Suite 384, Textile City, TX 78923"
141 - 246195,AM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Global Apparel Corp Partners,Jacquard,70% Cotton / 30% Silk,Blush Pink,331.95,28.5,9375150939834301,09/32,556,Visa,purchasing@globalapparelcorppartners.com,93.28.184.102,de,9460.57,"7106 Industrial Pkwy, Suite 199, Textile City, TX 78163"
481 - 112782,PM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Urban Outfitters Inc. Inc,Silk Satin,100% Mulberry Silk,Black,1146.37,45.0,7813767426629912,04/28,586,American Express,purchasing@urbanoutfittersinc.inc.com,34.3.209.164,fr,51586.65,"6891 Industrial Pkwy, Suite 99, Textile City, TX 79553"
573 - 844747,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Vogue Trends Ltd Partners,Silk Satin,100% Mulberry Silk,Charcoal Grey,654.88,45.0,4870494787300244,11/32,751,Discover,purchasing@voguetrendsltdpartners.com,137.125.14.31,fr,29469.6,"8178 Industrial Pkwy, Suite 44, Textile City, TX 79906"
863 - 479332,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Luxe Garments Partners,Denim,100% Cotton,Charcoal Grey,472.91,12.5,1589042902572520,05/28,529,American Express,purchasing@luxegarmentspartners.com,175.39.99.197,it,5911.38,"3102 Industrial Pkwy, Suite 401, Textile City, TX 75774"
713 - 889188,AM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Urban Outfitters Inc. Inc,Linen Blend,55% Linen / 45% Cotton,Olive Green,939.47,14.2,4518952028457652,02/27,258,Mastercard,purchasing@urbanoutfittersinc.inc.com,224.58.213.118,en,13340.47,"2009 Industrial Pkwy, Suite 429, Textile City, TX 76075"
117 - 602811,PM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Urban Outfitters Inc. LLC,Silk Satin,100% Mulberry Silk,Indigo Blue,1173.3,45.0,7985240132234232,02/29,807,Visa,purchasing@urbanoutfittersinc.llc.com,205.220.21.51,en,52798.5,"637 Industrial Pkwy, Suite 416, Textile City, TX 79206"
707 - 162144,PM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Luxe Garments Group,Jacquard,70% Cotton / 30% Silk,Black,149.09,28.5,1401193932501249,06/28,264,Mastercard,purchasing@luxegarmentsgroup.com,221.7.111.184,de,4249.07,"4717 Industrial Pkwy, Suite 97, Textile City, TX 79400"
104 - 860583,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Elite Fabrics Partners,Chiffon,100% Polyester,Mustard Yellow,1071.86,6.25,5927125663836151,08/26,632,Mastercard,purchasing@elitefabricspartners.com,154.20.42.84,es,6699.12,"1995 Industrial Pkwy, Suite 207, Textile City, TX 77323"
567 - 729554,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",EcoWeave Fashion Partners,Organic Cotton,100% Organic Cotton,Off-White,577.38,8.75,4631752071678112,07/29,811,Visa,purchasing@ecoweavefashionpartners.com,62.173.102.153,es,5052.07,"2111 Industrial Pkwy, Suite 129, Textile City, TX 78479"
842 - 623354,PM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Classic Tailors Inc,Chiffon,100% Polyester,Indigo Blue,1459.51,6.25,7967842711477320,02/31,154,Visa,purchasing@classictailorsinc.com,109.167.78.78,zh,9121.94,"1678 Industrial Pkwy, Suite 399, Textile City, TX 75626"
776 - 888119,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",EcoWeave Fashion Inc,Organic Cotton,100% Organic Cotton,Olive Green,1006.15,8.75,7784858800616756,08/29,136,Visa,purchasing@ecoweavefashioninc.com,211.155.84.126,es,8803.81,"2303 Industrial Pkwy, Suite 169, Textile City, TX 78187"
599 - 901123,AM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Elite Fabrics Partners,Polyester Taffeta,100% Polyester,Black,89.0,4.5,7828064796954500,10/26,231,American Express,purchasing@elitefabricspartners.com,240.174.194.25,es,400.5,"5754 Industrial Pkwy, Suite 192, Textile City, TX 78374"
459 - 159191,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",EcoWeave Fashion Inc,Velvet,100% Rayon,Indigo Blue,1479.36,22.0,9114152085076986,05/26,812,Discover,purchasing@ecoweavefashioninc.com,108.199.165.147,en,32545.92,"8101 Industrial Pkwy, Suite 61, Textile City, TX 76686"
444 - 620860,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Nordic Loom Inc,Velvet,100% Rayon,Mustard Yellow,446.38,22.0,5637183440496391,12/32,692,Visa,purchasing@nordicloominc.com,157.243.218.54,fr,9820.36,"1356 Industrial Pkwy, Suite 343, Textile City, TX 77472"
616 - 943187,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Elite Fabrics Inc,Velvet,100% Rayon,Indigo Blue,807.29,22.0,3664987820829737,05/31,645,Discover,purchasing@elitefabricsinc.com,105.236.75.62,de,17760.38,"5019 Industrial Pkwy, Suite 442, Textile City, TX 78566"
520 - 434132,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Classic Tailors Inc,Linen Blend,55% Linen / 45% Cotton,Crimson Red,445.43,14.2,4249363123034778,07/29,762,Visa,purchasing@classictailorsinc.com,19.132.142.169,zh,6325.11,"2983 Industrial Pkwy, Suite 339, Textile City, TX 75345"
839 - 609442,AM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Stitch & Thread Co. Inc,Velvet,100% Rayon,Off-White,1171.13,22.0,9416516231981898,05/29,192,Mastercard,purchasing@stitchandthreadco.inc.com,92.168.199.207,it,25764.86,"3965 Industrial Pkwy, Suite 488, Textile City, TX 78464"
323 - 251286,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",EcoWeave Fashion Inc,Merino Wool,100% Merino Wool,Indigo Blue,985.83,35.0,7649078515867342,06/29,832,American Express,purchasing@ecoweavefashioninc.com,167.17.27.177,it,34504.05,"4026 Industrial Pkwy, Suite 139, Textile City, TX 79527"
493 - 424291,PM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Elite Fabrics LLC,Chiffon,100% Polyester,Blush Pink,1393.42,6.25,7606441343275604,02/32,898,Discover,purchasing@elitefabricsllc.com,97.216.51.212,de,8708.88,"4375 Industrial Pkwy, Suite 269, Textile City, TX 75543"
460 - 541314,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Global Apparel Corp Group,Chiffon,100% Polyester,Navy Blue,1316.58,6.25,2720634591123829,11/29,911,American Express,purchasing@globalapparelcorpgroup.com,46.133.88.176,zh,8228.62,"5467 Industrial Pkwy, Suite 419, Textile City, TX 77308"
303 - 188498,PM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Vogue Trends Ltd Partners,Silk Satin,100% Mulberry Silk,Mustard Yellow,296.68,45.0,6930089317342069,07/30,366,Mastercard,purchasing@voguetrendsltdpartners.com,157.60.7.184,zh,13350.6,"7229 Industrial Pkwy, Suite 405, Textile City, TX 78716"
947 - 806331,PM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",EcoWeave Fashion LLC,Velvet,100% Rayon,Navy Blue,1365.63,22.0,3447626393436262,01/28,368,Mastercard,purchasing@ecoweavefashionllc.com,106.234.43.3,es,30043.86,"2282 Industrial Pkwy, Suite 456, Textile City, TX 77648"
809 - 516866,AM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Classic Tailors Inc,Organic Cotton,100% Organic Cotton,Olive Green,109.63,8.75,1180053759900489,07/28,504,American Express,purchasing@classictailorsinc.com,57.133.86.129,es,959.26,"5657 Industrial Pkwy, Suite 459, Textile City, TX 78834"
235 - 194002,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Vogue Trends Ltd Inc,Jacquard,70% Cotton / 30% Silk,Navy Blue,127.17,28.5,1502745644948562,06/31,603,Mastercard,purchasing@voguetrendsltdinc.com,50.27.117.47,en,3624.35,"7804 Industrial Pkwy, Suite 143, Textile City, TX 76339"
822 - 589824,PM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Modern Textures Group,Velvet,100% Rayon,Indigo Blue,812.72,22.0,7587771215134228,05/30,779,Mastercard,purchasing@moderntexturesgroup.com,158.92.213.236,en,17879.84,"4133 Industrial Pkwy, Suite 403, Textile City, TX 79080"
793 - 198886,PM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Luxe Garments Group,Velvet,100% Rayon,Crimson Red,356.48,22.0,6591520177749050,11/30,563,American Express,purchasing@luxegarmentsgroup.com,24.144.165.205,en,7842.56,"1258 Industrial Pkwy, Suite 290, Textile City, TX 79933"
490 - 197046,PM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Vogue Trends Ltd LLC,Jacquard,70% Cotton / 30% Silk,Emerald Green,759.95,28.5,6103266421476492,06/31,198,American Express,purchasing@voguetrendsltdllc.com,238.198.243.69,zh,21658.58,"9935 Industrial Pkwy, Suite 226, Textile City, TX 75739"
874 - 543061,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Classic Tailors Partners,Linen Blend,55% Linen / 45% Cotton,Olive Green,670.21,14.2,1085732788147617,05/27,230,American Express,purchasing@classictailorspartners.com,157.24.39.235,en,9516.98,"8511 Industrial Pkwy, Suite 65, Textile City, TX 79183"
535 - 533082,AM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Nordic Loom Inc,Velvet,100% Rayon,Charcoal Grey,544.93,22.0,5491801722601645,10/31,565,Discover,purchasing@nordicloominc.com,235.95.108.48,en,11988.46,"9996 Industrial Pkwy, Suite 142, Textile City, TX 75871"
544 - 660333,AM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Classic Tailors Group,Linen Blend,55% Linen / 45% Cotton,Indigo Blue,353.38,14.2,0277697499564122,01/27,214,Visa,purchasing@classictailorsgroup.com,178.74.123.112,it,5018.0,"8924 Industrial Pkwy, Suite 107, Textile City, TX 75705"
408 - 907111,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Modern Textures Partners,Canvas,100% Heavy Cotton,Navy Blue,1118.76,11.0,0122777079334960,06/26,205,Discover,purchasing@moderntexturespartners.com,164.148.18.125,es,12306.36,"8064 Industrial Pkwy, Suite 272, Textile City, TX 79841"
842 - 741199,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Global Apparel Corp Group,Polyester Taffeta,100% Polyester,Navy Blue,386.55,4.5,6958146717957602,05/31,296,Discover,purchasing@globalapparelcorpgroup.com,68.173.239.34,fr,1739.48,"6495 Industrial Pkwy, Suite 223, Textile City, TX 77951"
915 - 595268,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Luxe Garments Group,Organic Cotton,100% Organic Cotton,Olive Green,96.36,8.75,7223297167433800,06/28,465,Mastercard,purchasing@luxegarmentsgroup.com,28.172.220.30,zh,843.15,"3814 Industrial Pkwy, Suite 71, Textile City, TX 79603"
329 - 609990,PM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Urban Outfitters Inc. Group,Linen Blend,55% Linen / 45% Cotton,Mustard Yellow,277.7,14.2,8428910771199180,09/26,271,Visa,purchasing@urbanoutfittersinc.group.com,86.226.255.188,en,3943.34,"2627 Industrial Pkwy, Suite 341, Textile City, TX 77979"
442 - 958952,AM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",EcoWeave Fashion Partners,Canvas,100% Heavy Cotton,Blush Pink,1381.13,11.0,6037548214565328,07/32,333,Mastercard,purchasing@ecoweavefashionpartners.com,129.185.15.114,de,15192.43,"262 Industrial Pkwy, Suite 377, Textile City, TX 79238"
171 - 188896,PM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Classic Tailors LLC,Canvas,100% Heavy Cotton,Navy Blue,983.63,11.0,6060290846684550,05/30,725,Mastercard,purchasing@classictailorsllc.com,239.226.176.228,it,10819.93,"6727 Industrial Pkwy, Suite 407, Textile City, TX 76616"
408 - 188374,AM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Classic Tailors LLC,Canvas,100% Heavy Cotton,Olive Green,210.14,11.0,8843188485200894,04/32,892,American Express,purchasing@classictailorsllc.com,27.190.132.161,zh,2311.54,"5907 Industrial Pkwy, Suite 73, Textile City, TX 75391"
874 - 782583,AM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Luxe Garments Group,Polyester Taffeta,100% Polyester,Navy Blue,192.08,4.5,7539989354492683,02/28,628,Mastercard,purchasing@luxegarmentsgroup.com,194.217.210.21,en,864.36,"1118 Industrial Pkwy, Suite 227, Textile City, TX 76065"
587 - 325217,PM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Urban Outfitters Inc. Partners,Linen Blend,55% Linen / 45% Cotton,Navy Blue,736.37,14.2,9886497677622827,12/29,232,Visa,purchasing@urbanoutfittersinc.partners.com,203.80.189.236,en,10456.45,"9956 Industrial Pkwy, Suite 446, Textile City, TX 78347"
212 - 226737,PM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,Global Apparel Corp LLC,Denim,100% Cotton,Off-White,843.93,12.5,1545447022960443,03/32,857,Discover,purchasing@globalapparelcorpllc.com,29.22.213.124,zh,10549.12,"5174 Industrial Pkwy, Suite 299, Textile City, TX 78705"
445 - 919304,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Nordic Loom LLC,Silk Satin,100% Mulberry Silk,Crimson Red,1075.45,45.0,2877725199663658,01/31,553,American Express,purchasing@nordicloomllc.com,158.158.63.165,zh,48395.25,"1495 Industrial Pkwy, Suite 108, Textile City, TX 79438"
690 - 894417,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Modern Textures Group,Canvas,100% Heavy Cotton,Crimson Red,651.66,11.0,1820433971895690,08/32,123,American Express,purchasing@moderntexturesgroup.com,232.162.195.66,en,7168.26,"1978 Industrial Pkwy, Suite 60, Textile City, TX 79438"
272 - 399212,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Luxe Garments Group,Denim,100% Cotton,Emerald Green,397.45,12.5,2462095200461526,06/28,484,Visa,purchasing@luxegarmentsgroup.com,164.121.252.131,zh,4968.12,"6408 Industrial Pkwy, Suite 496, Textile City, TX 75942"
375 - 163577,PM,"Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1",Elite Fabrics Partners,Organic Cotton,100% Organic Cotton,Mustard Yellow,833.64,8.75,1706304891382496,08/26,966,Mastercard,purchasing@elitefabricspartners.com,55.125.216.247,zh,7294.35,"7501 Industrial Pkwy, Suite 31, Textile City, TX 75008"
932 - 587222,PM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Global Apparel Corp Group,Organic Cotton,100% Organic Cotton,Olive Green,1498.29,8.75,7494653984028914,02/29,815,Visa,purchasing@globalapparelcorpgroup.com,236.221.107.157,zh,13110.04,"5315 Industrial Pkwy, Suite 462, Textile City, TX 77806"
750 - 374056,PM,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:89.0) Gecko/20100101 Firefox/89.0,EcoWeave Fashion Inc,Jacquard,70% Cotton / 30% Silk,Indigo Blue,1344.23,28.5,5379502097002687,07/30,183,Visa,purchasing@ecoweavefashioninc.com,220.227.63.91,es,38310.56,"9951 Industrial Pkwy, Suite 193, Textile City, TX 78168"
281 - 979908,AM,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.124 Safari/537.36",Modern Textures Inc,Denim,100% Cotton,Emerald Green,1477.18,12.5,3703045319433750,05/29,820,Mastercard,purchasing@moderntexturesinc.com,175.202.56.223,fr,18464.75,"9424 Industrial Pkwy, Suite 266, Textile City, TX 79046"
274 - 678588,AM,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15",Stitch & Thread Co. LLC,Polyester Taffeta,100% Polyester,Blush Pink,1274.3,4.5,1249384308948706,11/31,765,Visa,purchasing@stitchandthreadco.llc.com,116.140.62.175,zh,5734.35,"7744 Industrial Pkwy, Suite 263, Textile City, TX 77961"
